state,county,year,days_with_aqi,good_days,moderate_days,usg_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,aqi_90th_percentile,median_aqi,days_co_main_pollutant,days_no2_main_pollutant,days_ozone_main_pollutant,days_pm25_main_pollutant,days_pm10_main_pollutant,bad_aqi_days,bad_aqi_day_pct,pct_days_co_main_pollutant,pct_days_no2_main_pollutant,pct_days_ozone_main_pollutant,pct_days_pm25_main_pollutant,pct_days_pm10_main_pollutant,geo_id,acs_name,population_25_plus,pct_high_school_or_higher,pct_bachelors_or_higher,population_16_plus,unemployment_rate,median_household_income,mean_household_income,per_capita_income,poverty_rate_all_people,pct_no_health_insurance,income_quartile,lower_income_group
California,Fresno,2024,366,71,216,65,14,0,0,169,126,67,0,0,196,155,15,79,21.584699453551913,0.0,0.0,53.551912568306015,42.349726775956285,4.098360655737705,0500000US06019,"Fresno County, California",636203,79.1,24.3,768405,8.7,74201,100639,32963,18.3,6.7,Q2,True
California,Glenn,2020,364,200,135,7,19,3,0,221,84,46,0,0,151,202,11,29,7.967032967032966,0.0,0.0,41.48351648351649,55.494505494505496,3.021978021978022,0500000US06021,"Glenn County, California",18378,78.2,15.1,21817,8.0,67139,84971,30361,16.0,8.5,Q1 lowest income,True
California,Glenn,2021,365,244,106,9,6,0,0,192,65,42,0,0,183,172,10,15,4.10958904109589,0.0,0.0,50.136986301369866,47.12328767123288,2.73972602739726,0500000US06021,"Glenn County, California",18378,78.2,15.1,21817,8.0,67139,84971,30361,16.0,8.5,Q1 lowest income,True
California,Glenn,2022,360,264,95,1,0,0,0,104,61,42,0,0,255,98,7,1,0.2777777777777778,0.0,0.0,70.83333333333334,27.22222222222222,1.9444444444444444,0500000US06021,"Glenn County, California",18378,78.2,15.1,21817,8.0,67139,84971,30361,16.0,8.5,Q1 lowest income,True
California,Glenn,2023,363,273,90,0,0,0,0,97,58,41,0,0,228,133,2,0,0.0,0.0,0.0,62.8099173553719,36.63911845730027,0.5509641873278237,0500000US06021,"Glenn County, California",18378,78.2,15.1,21817,8.0,67139,84971,30361,16.0,8.5,Q1 lowest income,True
California,Glenn,2024,366,292,74,0,0,0,0,80,54,39,0,0,237,124,5,0,0.0,0.0,0.0,64.75409836065575,33.87978142076503,1.366120218579235,0500000US06021,"Glenn County, California",18378,78.2,15.1,21817,8.0,67139,84971,30361,16.0,8.5,Q1 lowest income,True
California,Humboldt,2020,366,318,44,3,1,0,0,180,53,29,0,0,225,81,60,4,1.092896174863388,0.0,0.0,61.47540983606557,22.131147540983605,16.39344262295082,0500000US06023,"Humboldt County, California",93031,91.9,33.1,112461,9.0,61160,86064,36080,18.7,4.9,Q1 lowest income,True
California,Humboldt,2021,365,333,32,0,0,0,0,64,48,29,12,0,219,78,56,0,0.0,3.287671232876712,0.0,60.0,21.36986301369863,15.342465753424658,0500000US06023,"Humboldt County, California",93031,91.9,33.1,112461,9.0,61160,86064,36080,18.7,4.9,Q1 lowest income,True
California,Humboldt,2022,365,340,25,0,0,0,0,74,42,24,1,0,217,84,63,0,0.0,0.273972602739726,0.0,59.45205479452055,23.013698630136986,17.26027397260274,0500000US06023,"Humboldt County, California",93031,91.9,33.1,112461,9.0,61160,86064,36080,18.7,4.9,Q1 lowest income,True
California,Humboldt,2023,365,284,70,6,1,4,0,299,60,32,0,0,190,153,22,11,3.0136986301369864,0.0,0.0,52.054794520547944,41.917808219178085,6.027397260273973,0500000US06023,"Humboldt County, California",93031,91.9,33.1,112461,9.0,61160,86064,36080,18.7,4.9,Q1 lowest income,True
California,Humboldt,2024,366,266,100,0,0,0,0,86,58,38,0,0,150,199,17,0,0.0,0.0,0.0,40.98360655737705,54.37158469945356,4.644808743169399,0500000US06023,"Humboldt County, California",93031,91.9,33.1,112461,9.0,61160,86064,36080,18.7,4.9,Q1 lowest income,True
California,Imperial,2020,366,94,244,26,2,0,0,166,97,60,0,1,153,146,66,28,7.650273224043716,0.0,0.273224043715847,41.80327868852459,39.89071038251366,18.0327868852459,0500000US06025,"Imperial County, California",111419,71.5,16.1,134835,12.5,57681,79363,23552,19.5,6.0,Q1 lowest income,True
California,Imperial,2021,365,84,252,22,4,1,2,436,97,60,0,0,134,126,105,29,7.9452054794520555,0.0,0.0,36.71232876712329,34.52054794520548,28.767123287671232,0500000US06025,"Imperial County, California",111419,71.5,16.1,134835,12.5,57681,79363,23552,19.5,6.0,Q1 lowest income,True
California,Imperial,2022,365,86,232,34,5,2,6,791,106,61,0,2,131,131,101,47,12.876712328767123,0.0,0.547945205479452,35.89041095890411,35.89041095890411,27.671232876712327,0500000US06025,"Imperial County, California",111419,71.5,16.1,134835,12.5,57681,79363,23552,19.5,6.0,Q1 lowest income,True
California,Imperial,2023,365,104,214,37,3,3,4,506,105,61,0,1,171,98,95,47,12.876712328767123,0.0,0.273972602739726,46.849315068493155,26.84931506849315,26.027397260273972,0500000US06025,"Imperial County, California",111419,71.5,16.1,134835,12.5,57681,79363,23552,19.5,6.0,Q1 lowest income,True
California,Imperial,2024,366,83,233,42,5,2,1,341,107,63,0,1,194,98,73,50,13.661202185792352,0.0,0.273224043715847,53.00546448087432,26.775956284153008,19.94535519125683,0500000US06025,"Imperial County, California",111419,71.5,16.1,134835,12.5,57681,79363,23552,19.5,6.0,Q1 lowest income,True
California,Inyo,2020,366,158,153,23,16,8,8,705,130,57,0,0,218,128,20,55,15.027322404371585,0.0,0.0,59.56284153005464,34.97267759562842,5.46448087431694,0500000US06027,"Inyo County, California",13770,93.0,31.5,15269,2.5,73991,94111,41767,10.9,7.0,Q2,True
California,Inyo,2021,365,100,223,24,12,3,3,558,115,61,0,0,152,185,28,42,11.506849315068493,0.0,0.0,41.64383561643836,50.68493150684932,7.671232876712329,0500000US06027,"Inyo County, California",13770,93.0,31.5,15269,2.5,73991,94111,41767,10.9,7.0,Q2,True
California,Inyo,2022,365,117,217,18,4,4,5,1551,97,58,0,0,188,130,47,31,8.493150684931507,0.0,0.0,51.50684931506849,35.61643835616438,12.876712328767123,0500000US06027,"Inyo County, California",13770,93.0,31.5,15269,2.5,73991,94111,41767,10.9,7.0,Q2,True
California,Inyo,2023,365,106,236,13,3,1,6,786,90,61,0,0,202,123,40,23,6.301369863013699,0.0,0.0,55.342465753424655,33.6986301369863,10.95890410958904,0500000US06027,"Inyo County, California",13770,93.0,31.5,15269,2.5,73991,94111,41767,10.9,7.0,Q2,True
California,Inyo,2024,366,90,246,17,7,2,4,1322,93,61,0,0,188,130,48,30,8.19672131147541,0.0,0.0,51.36612021857923,35.51912568306011,13.114754098360656,0500000US06027,"Inyo County, California",13770,93.0,31.5,15269,2.5,73991,94111,41767,10.9,7.0,Q2,True
California,Kern,2020,366,56,180,98,28,4,0,267,140,83,0,0,184,166,16,130,35.51912568306011,0.0,0.0,50.27322404371585,45.3551912568306,4.371584699453552,0500000US06029,"Kern County, California",563569,77.0,18.8,684840,8.6,70210,93147,29699,19.1,7.8,Q2,True
California,Kern,2021,365,35,202,97,29,1,1,314,147,84,0,0,151,199,15,128,35.06849315068493,0.0,0.0,41.369863013698634,54.52054794520548,4.10958904109589,0500000US06029,"Kern County, California",563569,77.0,18.8,684840,8.6,70210,93147,29699,19.1,7.8,Q2,True
California,Kern,2022,365,47,196,109,12,1,0,289,136,80,0,0,189,153,23,122,33.42465753424658,0.0,0.0,51.78082191780822,41.917808219178085,6.301369863013699,0500000US06029,"Kern County, California",563569,77.0,18.8,684840,8.6,70210,93147,29699,19.1,7.8,Q2,True
California,Kern,2023,365,85,210,58,12,0,0,174,122,69,0,1,217,135,12,70,19.17808219178082,0.0,0.273972602739726,59.45205479452055,36.986301369863014,3.287671232876712,0500000US06029,"Kern County, California",563569,77.0,18.8,684840,8.6,70210,93147,29699,19.1,7.8,Q2,True
California,Kern,2024,366,76,196,73,21,0,0,177,140,72,0,0,225,122,19,94,25.683060109289617,0.0,0.0,61.47540983606557,33.33333333333333,5.191256830601093,0500000US06029,"Kern County, California",563569,77.0,18.8,684840,8.6,70210,93147,29699,19.1,7.8,Q2,True
