socio_variable,air_variable,n,pearson_r,pearson_p,spearman_r,spearman_p,year
poverty_rate_all_people,aqi_90th_percentile,52,0.22024500336659908,0.11666291517821906,0.2413255624113594,0.08479899435359789,2022
unemployment_rate,bad_aqi_day_pct,52,0.2138651985611302,0.12791163131175365,0.2100064268297706,0.1351012795183204,2022
mean_household_income,aqi_90th_percentile,52,-0.2094560388865741,0.1361509477004773,-0.15414176423865644,0.27525162950586646,2022
median_household_income,bad_aqi_day_pct,52,-0.20761485270308283,0.13970673273910467,-0.24140203302333263,0.08469733867267486,2022
unemployment_rate,aqi_90th_percentile,52,0.19821621629701705,0.15894403167298649,0.21893574221673084,0.11890762721703504,2022
pct_no_health_insurance,pct_days_ozone_main_pollutant,52,-0.19565299282788626,0.16451277674588882,-0.08990301053631689,0.526194512991847,2022
median_household_income,aqi_90th_percentile,52,-0.17927846164148417,0.20347933073008734,-0.14304014132950116,0.3117213184404629,2022
mean_household_income,median_aqi,52,-0.17600473496283042,0.2119923471743545,-0.08330309694859668,0.5571187186503335,2022
pct_bachelors_or_higher,pct_days_pm25_main_pollutant,52,0.16419070310667705,0.24477743004992697,0.23562690939304134,0.09264748798461976,2022
poverty_rate_all_people,max_aqi,52,-0.1514727666777024,0.28375002241792663,0.10139449742671203,0.4744615753371225,2022
mean_household_income,pct_days_pm25_main_pollutant,52,0.14822425680009302,0.29432367856895525,0.2402442183441904,0.08624673826005194,2022
median_household_income,median_aqi,52,-0.1452677639200943,0.3041666050423183,-0.08159431547272802,0.5652628126262755,2022
per_capita_income,pct_days_pm25_main_pollutant,52,0.14250322817673908,0.3135599777340947,0.205191703103284,0.144491452570524,2022
median_household_income,pct_days_pm25_main_pollutant,52,0.11912956142049119,0.40025042102867314,0.24711809770324752,0.07736548832410368,2022
pct_no_health_insurance,pct_days_pm25_main_pollutant,52,0.11147217352700722,0.43142626009191914,0.006194993551082353,0.9652334760639051,2022
pct_bachelors_or_higher,pct_days_ozone_main_pollutant,52,-0.10404133463939536,0.46294243467341445,-0.13701292146875294,0.33275757547976237,2022
pct_high_school_or_higher,pct_days_ozone_main_pollutant,52,0.0945285468198788,0.5050406199358118,0.14785078425293674,0.2955555053557379,2022
mean_household_income,pct_days_ozone_main_pollutant,52,-0.08716520438463339,0.538918738958539,-0.12617960339911796,0.3727439564405907,2022
per_capita_income,pct_days_ozone_main_pollutant,52,-0.07728336174268331,0.5860517414561717,-0.08160041356876968,0.5652336505933092,2022
median_household_income,pct_days_ozone_main_pollutant,52,-0.06746571092411499,0.6346317133069332,-0.1433451535062061,0.31067988028585813,2022
unemployment_rate,pct_days_ozone_main_pollutant,52,-0.06311351775356255,0.6566824396765524,-0.11372577530710178,0.42211228564506714,2022
pct_high_school_or_higher,max_aqi,52,0.05786259692014038,0.6836761958783398,0.015738783614887692,0.9118210570740126,2022
mean_household_income,max_aqi,52,-0.044264677462465374,0.755351734413925,-0.2070290967271416,0.14085237486977537,2022
poverty_rate_all_people,pct_days_ozone_main_pollutant,52,-0.040066840793899126,0.7779313735132747,0.04093442423640667,0.7732491366740454,2022
per_capita_income,max_aqi,52,0.03769443493178722,0.7907744673214657,-0.20062349348682162,0.1538412174858606,2022
pct_bachelors_or_higher,max_aqi,52,-0.015390974164951115,0.9137622538190568,-0.1720014608526695,0.22273766335593628,2022
unemployment_rate,pct_days_pm25_main_pollutant,52,0.01492704897777145,0.9163522913181673,0.030303042509064043,0.8311278436830427,2022
poverty_rate_all_people,pct_days_pm25_main_pollutant,52,-0.011857840519049532,0.9335077519104553,-0.1267374084880108,0.370617258308115,2022
median_household_income,max_aqi,52,0.007586930775015156,0.9574284069890268,-0.1679976209827919,0.23385683155731946,2022
pct_high_school_or_higher,pct_days_pm25_main_pollutant,52,0.004834593121661216,0.9728648351616043,-0.06776693641188448,0.6331168194753388,2022
pct_high_school_or_higher,median_aqi,52,-0.44094647410025606,0.0010685323660779194,-0.40709415129028126,0.0027431695563591703,2023
pct_high_school_or_higher,aqi_90th_percentile,52,-0.39702187634547587,0.0035661863017245853,-0.3390145671018186,0.013950782431760183,2023
per_capita_income,median_aqi,52,-0.3911280831314335,0.004142734163957647,-0.36157001775931435,0.008446085011092683,2023
pct_high_school_or_higher,bad_aqi_day_pct,52,-0.37159897424070176,0.0066803188438805845,-0.28479170102005386,0.04072403421935217,2023
per_capita_income,aqi_90th_percentile,52,-0.368519759624941,0.007184620053992161,-0.4307679732060938,0.0014333122311929029,2023
pct_no_health_insurance,bad_aqi_day_pct,52,0.3634667989374112,0.008084064602608784,0.29647706836817556,0.0328267668270257,2023
pct_no_health_insurance,aqi_90th_percentile,52,0.3562869286803527,0.009529455975794236,0.34043508489606,0.013530555299476367,2023
pct_no_health_insurance,median_aqi,52,0.3276277600263386,0.017741239790770857,0.34933192156227294,0.011137390624943738,2023
per_capita_income,bad_aqi_day_pct,52,-0.3203759805018835,0.02058531327688365,-0.4187260644117141,0.0020056718454871543,2023
pct_no_health_insurance,pct_days_ozone_main_pollutant,52,-0.3062169154649586,0.027256923391685058,-0.2552932547411819,0.06776109791653846,2023
unemployment_rate,median_aqi,52,0.28277399966602773,0.042234090472422596,0.3506854608668676,0.01080733041059915,2023
pct_bachelors_or_higher,median_aqi,52,-0.2802373110193615,0.04419741463359363,-0.24515008588458923,0.07983096918174963,2023
pct_bachelors_or_higher,aqi_90th_percentile,52,-0.26415327658726895,0.05845171989385425,-0.2741270964414491,0.049234394498676,2023
unemployment_rate,aqi_90th_percentile,52,0.2602119866234762,0.06245699734946843,0.37357310486333506,0.006373483797347233,2023
poverty_rate_all_people,aqi_90th_percentile,52,0.25824805164536657,0.06453340099648278,0.3413425824621221,0.01326780819768411,2023
mean_household_income,median_aqi,52,-0.25370163838416554,0.06955232760807942,-0.14946489271118907,0.2902556712420173,2023
pct_no_health_insurance,pct_days_pm25_main_pollutant,52,0.2529463070100558,0.07041547649640065,0.1875587702707002,0.18303154752202716,2023
mean_household_income,aqi_90th_percentile,52,-0.25293211929396164,0.07043177053890388,-0.24848384573795892,0.07569015244340403,2023
pct_no_health_insurance,max_aqi,52,0.2527238346910841,0.07067132268592535,0.2901606807046606,0.03692076214590699,2023
pct_bachelors_or_higher,bad_aqi_day_pct,52,-0.24419804328818193,0.0810456792441659,-0.2572804317629094,0.06557655229894692,2023
poverty_rate_all_people,bad_aqi_day_pct,52,0.24010743777294352,0.08643123598203581,0.31778742924536857,0.021689744335788852,2023
unemployment_rate,bad_aqi_day_pct,52,0.22946117849685502,0.10176417369972719,0.30628455676874955,0.027221199091771606,2023
unemployment_rate,max_aqi,52,-0.22637557238742487,0.10657913324493154,0.13888538312158477,0.32612924594817555,2023
poverty_rate_all_people,median_aqi,52,0.22512645564319256,0.10857737771591652,0.24307700320587025,0.0824946115790578,2023
median_household_income,aqi_90th_percentile,52,-0.22423791548692018,0.1100162020088109,-0.2367387344320224,0.09107342119884329,2023
median_household_income,median_aqi,52,-0.2166854465269249,0.1228422177170495,-0.13510805910599766,0.33958649379250894,2023
mean_household_income,bad_aqi_day_pct,52,-0.21347430704202314,0.12862652653671186,-0.3123842971069075,0.024156803937553813,2023
median_household_income,bad_aqi_day_pct,52,-0.19110206337331334,0.17474864498719758,-0.27618010960789,0.04749234649636138,2023
mean_household_income,max_aqi,52,-0.162726486539855,0.24906864752798447,-0.34463325581558646,0.012351409861911682,2023
poverty_rate_all_people,pct_days_pm25_main_pollutant,52,0.1322932833969927,0.34983568392925046,0.08245617782693694,0.5611482246533395,2023
median_household_income,max_aqi,52,-0.1264894896811387,0.37156157474526763,-0.30227991218711,0.029404866762501418,2023
poverty_rate_all_people,pct_days_ozone_main_pollutant,52,-0.12365702137391857,0.38245279966213563,-0.09805680262661617,0.48920222597156143,2023
median_household_income,pct_days_pm25_main_pollutant,52,-0.11606894392321811,0.41255047856880883,0.022073264774115236,0.8765673955750025,2023
unemployment_rate,pct_days_pm25_main_pollutant,52,0.11375032188313136,0.4220114698608812,0.1651921851869288,0.2418715028487712,2023
unemployment_rate,pct_days_ozone_main_pollutant,52,-0.10649708242884924,0.4523916236139868,-0.18988185790475873,0.17756982553409748,2023
median_household_income,pct_days_ozone_main_pollutant,52,0.10140083773944276,0.47443380091251186,0.02946388690075585,0.8357387199566689,2023
pct_bachelors_or_higher,max_aqi,52,-0.1009253523075873,0.47651911697887095,-0.16669157457106704,0.23756498765514797,2023
pct_high_school_or_higher,pct_days_ozone_main_pollutant,52,0.09845502121123585,0.48743105833864175,0.17817638526055865,0.20631779225239485,2023
mean_household_income,pct_days_pm25_main_pollutant,52,-0.09309057401588457,0.5115699995734807,0.030099906510157145,0.8322434965203458,2023
pct_high_school_or_higher,max_aqi,52,0.09185944736523256,0.5171939070526154,-0.08935243506103863,0.5287413577311626,2023
mean_household_income,pct_days_ozone_main_pollutant,52,0.08754194267038692,0.5371589780648666,0.03219676916401436,0.8207433730764805,2023
per_capita_income,max_aqi,52,-0.07353512249544,0.6044015482019142,-0.31765007721357325,0.021749717472772497,2023
per_capita_income,pct_days_pm25_main_pollutant,52,-0.06375958091985025,0.6533901401997492,0.014516266969437487,0.9186463567323934,2023
per_capita_income,pct_days_ozone_main_pollutant,52,0.061590956439789006,0.6644668384167391,0.05000320516055812,0.724813301087577,2023
poverty_rate_all_people,max_aqi,52,-0.051143683161698254,0.7187926051067339,0.25151055794959015,0.0720796421040111,2023
pct_high_school_or_higher,pct_days_pm25_main_pollutant,52,-0.04313569064688918,0.7614053880434813,-0.13126374450543976,0.3536314872033222,2023
pct_bachelors_or_higher,pct_days_pm25_main_pollutant,52,0.02591778970905583,0.8552820485426046,0.12916035171041954,0.36146457501440804,2023
pct_bachelors_or_higher,pct_days_ozone_main_pollutant,52,-0.019465153008452356,0.8910576855294403,-0.07253277771507624,0.6093506364931128,2023
pct_high_school_or_higher,median_aqi,52,-0.4385032765971035,0.0011475305555391812,-0.45751276999661217,0.0006495149199889172,2024
mean_household_income,pct_days_pm25_main_pollutant,52,0.4226458438401533,0.0018002952223517008,0.29400337839575713,0.034382779492819024,2024
pct_bachelors_or_higher,pct_days_pm25_main_pollutant,52,0.4185127734432073,0.002017422464684839,0.364389413749575,0.007912896151072983,2024
per_capita_income,pct_days_pm25_main_pollutant,52,0.4136543721111956,0.0023022034357528813,0.2637320459411257,0.0588696566573002,2024
pct_high_school_or_higher,bad_aqi_day_pct,52,-0.40133945987190084,0.003189943845171876,-0.2530766711357389,0.07026589865075934,2024
pct_high_school_or_higher,aqi_90th_percentile,52,-0.40034329538125246,0.003273490950160519,-0.2869536338839143,0.03915556315022066,2024
mean_household_income,pct_days_ozone_main_pollutant,52,-0.3887565420245454,0.004396919488300562,-0.22541045723974112,0.10812054791056366,2024
per_capita_income,pct_days_ozone_main_pollutant,52,-0.38580712688910407,0.004732088483744631,-0.21136233440741023,0.13254124985578494,2024
per_capita_income,median_aqi,52,-0.38061501915318763,0.005376833316546035,-0.3509537088413103,0.010742928794405573,2024
pct_bachelors_or_higher,pct_days_ozone_main_pollutant,52,-0.38026109388465973,0.005423456930896573,-0.3031642395517223,0.028910494559933594,2024
median_household_income,pct_days_pm25_main_pollutant,52,0.3793342098512871,0.005547238621842969,0.2898191885783327,0.037153600563156905,2024
pct_no_health_insurance,bad_aqi_day_pct,52,0.36200826800143443,0.00836121497859962,0.2728244270305967,0.050366459254385904,2024
median_household_income,pct_days_ozone_main_pollutant,52,-0.35808416481226835,0.009148149737298904,-0.23531673230691671,0.0930903779063885,2024
per_capita_income,aqi_90th_percentile,52,-0.35561384464754286,0.009675754698750488,-0.3777053015416013,0.005770768772936263,2024
pct_no_health_insurance,aqi_90th_percentile,52,0.33017409819992277,0.01682522906539336,0.2652799526071641,0.05734558740141869,2024
pct_no_health_insurance,median_aqi,52,0.3292473410396722,0.017153846195053498,0.34191797225103826,0.013103491249584298,2024
per_capita_income,bad_aqi_day_pct,52,-0.3059984208735132,0.027372587926479654,-0.36285469567248085,0.008199390324188056,2024
pct_bachelors_or_higher,aqi_90th_percentile,52,-0.2831787847947812,0.041927520489697626,-0.2891510691390124,0.037612647870681984,2024
pct_bachelors_or_higher,median_aqi,52,-0.25894341521189784,0.06379199043442743,-0.2349951293856783,0.09355132011296911,2024
unemployment_rate,median_aqi,52,0.2570941304765312,0.0657789348672358,0.29757758329777184,0.032153549441536367,2024
pct_bachelors_or_higher,bad_aqi_day_pct,52,-0.24391100434961938,0.08141475200261053,-0.2948491248378006,0.033844051389257106,2024
poverty_rate_all_people,aqi_90th_percentile,52,0.23806592131415216,0.08922184178334394,0.2530234499220636,0.07032693331404612,2024
unemployment_rate,aqi_90th_percentile,52,0.23472986542783128,0.09393284797669016,0.26176779095268754,0.06085041987239661,2024
mean_household_income,aqi_90th_percentile,52,-0.23243527971964845,0.097283831917877,-0.1788972961034711,0.20445790922180462,2024
poverty_rate_all_people,median_aqi,52,0.22778769187286083,0.10435429764329802,0.2269406886004299,0.10568444132263076,2024
mean_household_income,median_aqi,52,-0.2270656175595313,0.10548743575185102,-0.10136479443530055,0.4745917040295107,2024
unemployment_rate,bad_aqi_day_pct,52,0.22146302433172088,0.11460374569068665,0.18964670381638482,0.17811727215666476,2024
